date,year,month,quarter,region,product_line,units_sold,unit_price,discount_rate,marketing_spend,revenue
2016-01-01,2016,1,Q1,North,Cloud,765,161.06,0.055,9479.02,116439.64
2016-01-01,2016,1,Q1,North,AI,647,192.23,0.0397,10362.74,119435.93
2016-01-01,2016,1,Q1,North,Security,852,142.49,0.0341,14735.15,117261.66
2016-01-01,2016,1,Q1,North,Data,725,159.38,0.0376,9861.02,111201.36
2016-01-01,2016,1,Q1,South,Cloud,618,163.5,0.0558,10806.57,95408
2016-01-01,2016,1,Q1,South,AI,580,185.49,0.0401,8926.06,103266.22
2016-01-01,2016,1,Q1,South,Security,730,142.88,0.0563,9516.14,98429.44
2016-01-01,2016,1,Q1,South,Data,621,150.17,0.0341,8931.01,90075.43
2016-01-01,2016,1,Q1,East,Cloud,788,167.53,0.0393,12501.61,126826.81
2016-01-01,2016,1,Q1,East,AI,635,192.44,0.0426,9495.73,116994.31
2016-01-01,2016,1,Q1,East,Security,784,149.31,0.0513,12459.7,111044.63
2016-01-01,2016,1,Q1,East,Data,711,158.51,0.0324,10500.83,109049.51
2016-01-01,2016,1,Q1,West,Cloud,873,163.4,0.0367,10504.03,137415.74
2016-01-01,2016,1,Q1,West,AI,729,193.61,0.0589,8645.34,132823.38
2016-01-01,2016,1,Q1,West,Security,851,147.02,0.0568,12745.13,118009.05
2016-01-01,2016,1,Q1,West,Data,807,160.95,0.0407,9963.19,124596.98
2016-02-01,2016,2,Q1,North,Cloud,859,163.3,0.0595,13149.46,131931.92
2016-02-01,2016,2,Q1,North,AI,659,194,0.0549,9220.33,120820.82
2016-02-01,2016,2,Q1,North,Security,902,143.03,0.0538,15011.14,122066.34
2016-02-01,2016,2,Q1,North,Data,752,156.21,0.0561,12459.81,110884.92
2016-02-01,2016,2,Q1,South,Cloud,730,166.73,0.0507,11879.93,115539.17
2016-02-01,2016,2,Q1,South,AI,680,187.75,0.0329,10957.12,123472.88
2016-02-01,2016,2,Q1,South,Security,761,142.22,0.0533,11887.85,102463.66
2016-02-01,2016,2,Q1,South,Data,688,151.73,0.0356,8984.3,100674.74
2016-02-01,2016,2,Q1,East,Cloud,837,164.64,0.0359,10054.4,132857.37
2016-02-01,2016,2,Q1,East,AI,695,192.33,0.041,11494.31,128197.52
2016-02-01,2016,2,Q1,East,Security,839,140.11,0.0475,13941.86,111964.71
2016-02-01,2016,2,Q1,East,Data,699,148.07,0.0358,11438.81,99791.16
2016-02-01,2016,2,Q1,West,Cloud,839,168.4,0.045,11039.57,134925.41
2016-02-01,2016,2,Q1,West,AI,731,194.45,0.0485,12167.9,135245.18
2016-02-01,2016,2,Q1,West,Security,824,145.89,0.0422,10562.43,115138.54
2016-02-01,2016,2,Q1,West,Data,809,162.95,0.0347,12300.98,127250.32
2016-03-01,2016,3,Q1,North,Cloud,838,164.93,0.0388,9257.82,132848.67
2016-03-01,2016,3,Q1,North,AI,733,190.36,0.0434,12192.26,133470.83
2016-03-01,2016,3,Q1,North,Security,998,140.54,0.0445,17638.55,134021.36
2016-03-01,2016,3,Q1,North,Data,818,153.85,0.0321,9520.06,121815.12
2016-03-01,2016,3,Q1,South,Cloud,767,165.22,0.0534,8722.34,119954.42
2016-03-01,2016,3,Q1,South,AI,607,190.62,0.0445,8870.87,110551.64
2016-03-01,2016,3,Q1,South,Security,759,139.4,0.0526,12083.8,100241
2016-03-01,2016,3,Q1,South,Data,711,156.14,0.0472,9938.72,105774.84
2016-03-01,2016,3,Q1,East,Cloud,794,168.94,0.046,12798.36,127970.53
2016-03-01,2016,3,Q1,East,AI,682,181.36,0.0554,9710.23,116836.23
2016-03-01,2016,3,Q1,East,Security,934,147.65,0.0357,11438.18,132982.13
