항목,2022,2021,2020,2019,2018,2017
유동자산,14155355,8715111,2156041,1427203,1747647,1386678
현금및현금성자산,4791062,1506142,1009447,645092,562901,676365
매출채권 및 기타유동채권,1092171,2144838,849147,545258,536439,371308
당기법인세자산,735,591,920,4179,9848,7763
재고자산,319844,250066,146143,135256,131521,112700
유동파생상품자산,1127,10497,0,1,7,20
당기손익인식금융자산,854433,0,0,0,0,0
금융리스채권,28649,8539,13978,12295,0,0
기타유동금융자산,6965060,4733292,660,12710,317033,18471
매각예정자산,0,0,55065,13905,0,7828
기타유동자산,102274,61146,80681,58507,189898,192223
비유동자산,11528854,8892651,6472296,5732984,2373793,2215740
매출채권 및 기타비유동채권,286572,309732,282329,259028,181909,192469
장기투자자산,79720,190816,158172,35193,50559,22463
비유동파생상품자산,0,426,3760,0,0,0
금융리스채권,166224,10351,17661,30357,12637,12157
순확정급여자산,36803,4018,1416,0,0,0
종속/관계/공동기업투자,469527,455420,366331,293637,284684,126402
유형자산,4066274,3063427,1784860,2023528,1734100,1596765
무형자산,43735,42442,45544,91533,77409,80273
사용권자산,4452079,4734949,3798762,2961009,0,0
이연법인세자산,0,18414,0,5981,6575,13885
기타비유동금융/자산,1927920,62656,13461,53335,46602,150889
자산총계,25684209,17607762,8628337,7160187,4121440,3602418
