상품코드,상품명,옵션,공급가,할인율,재고수량,판매상태
P0001,상품1,S,9805,0.2,130,판매중
P0002,상품2,XL,33468,0.15,194,판매중
P0003,상품3,S,7151,0.15,199,품절
P0004,상품4,XL,40809,,136,단종
P0005,상품5,S,15992,0.2,162,판매중
P0006,상품6,,2462,0,4,품절
P0007,상품7,XL,45989,0.05,14,단종
P0008,상품8,XL,15528,0.15,283,판매중
P0009,상품9,,23655,0.05,235,품절
P0010,상품10,FREE,2408,,51,판매중
P0011,상품11,L,42245,0.3,61,단종
P0012,상품12,FREE,22803,0.3,216,단종
P0013,상품13,L,44929,0.05,145,단종
P0014,상품14,XL,33726,0.2,17,품절
P0015,상품15,XL,16908,0.3,212,단종
P0016,상품16,FREE,12338,0.1,191,판매중
P0017,상품17,FREE,29767,0.3,55,판매중
P0018,상품18,L,35140,0.15,250,단종
P0019,상품19,S,2938,0.15,157,단종
P0020,상품20,FREE,41292,0.2,201,단종
P0021,상품21,FREE,12164,0.05,116,판매중
P0022,상품22,FREE,14075,0.2,118,품절
P0023,상품23,FREE,34670,0.1,180,품절
P0024,상품24,,18647,0.3,2,품절
P0025,상품25,M,49529,0.2,265,단종
P0026,상품26,S,14466,0.15,246,품절
P0027,상품27,M,38355,0.2,258,품절
P0028,상품28,XL,32780,0.1,177,판매중
P0029,상품29,FREE,36289,0.2,169,품절
P0030,상품30,M,40312,0,90,단종
P0031,상품31,S,39303,0.05,282,품절
P0032,상품32,S,3127,0.3,42,판매중
P0033,상품33,L,30687,0,127,품절
P0034,상품34,M,8175,0.2,176,품절
P0035,상품35,M,5555,0.05,130,단종
P0036,상품36,,12019,0.3,150,품절
P0037,상품37,XL,47047,0.1,242,판매중
P0038,상품38,XL,2548,0.1,175,품절
P0039,상품39,S,13323,0.2,129,단종
P0040,상품40,FREE,34430,0.15,221,판매중
P0041,상품41,XL,15770,0.15,74,판매중
P0042,상품42,XL,48109,,259,단종
P0043,상품43,M,28961,0.2,264,품절
P0044,상품44,S,15627,0,202,단종
P0045,상품45,XL,38738,0.05,30,단종
P0046,상품46,,20569,0.15,24,품절
P0047,상품47,L,5635,0.05,152,단종
P0048,상품48,FREE,11368,,129,판매중
P0049,상품49,S,1555,0.3,111,단종
P0050,상품50,FREE,31202,0.3,260,판매중
P0051,상품51,L,25770,0.05,50,판매중
P0052,상품52,XL,38577,0.2,99,품절
